State,District,Soil Type,Soil pH,Rainfall (mm),Temperature (°C),Fertility,Nearest Seaport,Nearest ICD,Nearest Cargo Airport,Cold Storage (MT),Key Crops / Products,HS Codes,Top Export Products,Export Volume (MT),Top Buyer Countries,Exporters / Processors,AEZ / Cluster,GI Tags,State Incentives,Remarks
State,District,Predominant Soil Types (in order of dominance),Soil pH (typical range),"Annual Rainfall (avg, mm)",Annual Average Temperature (°C),Fertility Status,Nearest Seaport + Distance (km),Nearest ICD/CFS + Distance (km),Nearest Cargo Airport + Distance (km),Cold Storage Capacity (MT),Key Suitable Crops / Products,HS Chapters (Top 5–6 relevant),Major Export Products (last 3 years),Export Volume 2024-25 (MT),Top 3 Buyer Countries (2024),No. of Registered Exporters / Processors,Agri Export Zone (AEZ) or Cluster,GI Tags Present in District,State Incentive Highlights (2024-29 policy),Remarks / Special Notes
Andhra Pradesh,Alluri Sitharama Raju,"Red, Lateritic, Sandy loam",5.5-6.5,1100,24-27,Medium,Visakhapatnam – (~180 km),,Visakhapatnam – (~200 km),12000,"Cashew, Turmeric, Coffee, Pepper","HS08, HS09","Cashew, Turmeric",18000,"Vietnam, UAE, USA",68,Tribal Cashew Cluster,Araku Coffee,50% subsidy in tribal areas,Emerging coffee & pepper belt
Andhra Pradesh,Anakapalli,"Red loamy, Alluvial",6.0-7.5,1000,25-28,High,Visakhapatnam – (~35 km),Visakhapatnam CFS – (~30 km),Visakhapatnam – (~50 km),85000,"Sugarcane, Rice, Banana, Coconut","HS10, HS08, HS17","Sugar, Banana",125000,"Netherlands, Iran, Bangladesh",182,,,35% capital subsidy + 100% SGST reimbursement,Major sugar mills cluster
Andhra Pradesh,Anantapur,"Red sandy, Black cotton patches",6.5-8.5,550,26-30,Medium,Krishnapatnam – (~320 km),Tirupati ICD – (~180 km),Bengaluru – (~220 km),145000,"Groundnut, Tomato, Pomegranate, Sweet orange","HS12, HS07, HS08","Groundnut, Pomegranate",285000,"Netherlands, Vietnam, Malaysia",315,Rayalaseema Groundnut Cluster,,Additional 15% subsidy in drought-prone areas,India’s largest groundnut district
Andhra Pradesh,Annamayya,Red & Black mixed,6.0-7.8,800,25-29,Medium-High,Krishnapatnam – (~180 km),Tirupati ICD – (~90 km),Tirupati – (~110 km),68000,"Mango, Tomato, Sweet orange, Banana","HS08, HS07","Mango, Tomato",98000,"UAE, UK, Saudi",142,,Banganapalle Mango,40% subsidy for horticulture processing,Famous Banganapalle mango
Andhra Pradesh,Bapatla,"Deltaic alluvial, Black cotton",7.0-8.5,950,26-29,Very High,Krishnapatnam – (~120 km),,Vijayawada – (~100 km),185000,"Rice, Aquaculture (shrimp), Chillies","HS10, HS03, HS09","Shrimp, Rice",420000,"USA, China, EU",425,Krishna-Guntur Aqua Zone,,100% electricity duty waiver for aqua units,Top shrimp exporter
Andhra Pradesh,Chittoor,"Red loamy, Sandy",6.0-7.5,900,25-30,High,Chennai – (~140 km),Tirupati ICD – (~60 km),Tirupati – (~80 km),225000,"Mango, Tomato, Groundnut, Flowers","HS08, HS07,12,06","Mango pulp, Tomato paste",380000,"Russia, USA, Germany",528,Chittoor Mango Cluster,Banganapalle Mango,35% + extra 10% for food parks,India’s mango & tomato capital
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,"Deltaic alluvial, Clayey, Saline",6.5-8.2,1150,25-28,Very High,Kakinada Port – (~60 km),Kakinada CFS – (~50 km),Rajahmundry – (~80 km),195000,"Rice, Coconut, Shrimp, Banana","HS10, HS03, HS08","Shrimp, Rice",510000,"USA, Japan, EU",485,Godavari Delta Aqua Zone,,Special aqua package,Highest aquaculture density
Andhra Pradesh,East Godavari,"Alluvial, Deltaic, Coastal sandy",6.0-8.0,1200,25-28,Very High,Kakinada Anchorage – (~20 km),Kakinada CFS – (~15 km),Rajahmundry – (~70 km),285000,"Rice, Coconut, Shrimp, Mango, Banana","HS10, HS03, HS08","Shrimp, Coconut products",680000,"USA, China EU",682,Godavari Delta Aqua Zone,,100% SGST for 10 yrs in aqua processing,India’s top aqua district
Andhra Pradesh,Eluru,"Alluvial, Red loamy",6.0-7.5,1050,25-28,High,Krishnapatnam – (~280 km),Vijayawada ICD – (~80 km),Vijayawada – (~90 km),125000,"Rice, Tobacco, Maize, Aquaculture","HS10, HS24, HS03","Tobacco, Shrimp",185000,"USA, China",218,,,–,Tobacco belt
Andhra Pradesh,Guntur,"Black cotton, Deltaic alluvial",7.0-8.5,850,26-29,Very High,Krishnapatnam – (~180 km),Guntur CFS – (~30 km),Vijayawada – (~60 km),325000,"Chillies, Cotton, Rice, Turmeric","HS09, HS52, HS10","Chillies, Cotton",720000,"Bangladesh, China, Vietnam",785,Guntur Chillies & Cotton Cluster,Guntur Sannam Chilli,40% subsidy for spice processing,World’s largest chilli market
Andhra Pradesh,Kakinada,"Coastal alluvial, Saline",7.0-8.5,1100,26-29,High,Kakinada Port – (~5 km),Kakinada CFS – (~5 km),Rajahmundry – (~70 km),215000,"Rice, Shrimp, Coconut","HS10, HS03","Shrimp, Rice",590000,"USA, EU",512,Godavari Delta Aqua Zone,,Port-based incentives,Major seafood export hub
Andhra Pradesh,Krishna,"Deltaic alluvial, Clayey",6.5-8.0,1050,25-28,Very High,Krishnapatnam – (~220 km),Vijayawada ICD – (~60 km),Vijayawada – (~70 km),265000,"Rice, Mango, Shrimp, Banana, Aquaculture","HS10, HS08, HS03","Rice, Shrimp",680000,"Vietnam, USA, Bangladesh",628,Krishna Delta Rice & Aqua Zone,,–,Rice & shrimp powerhouse
Andhra Pradesh,Kurnool,"Red sandy, Black cotton",6.5-8.5,650,26-30,Medium,Krishnapatnam – (~260 km),Tirupati ICD – (~220 km),Bengaluru – (~360 km),165000,"Groundnut, Bengal gram, Onion, Cotton","HS12, HS07, HS52","Groundnut, Onion",320000,"Vietnam, Malaysia",385,Rayalaseema Groundnut Cluster,,Drought subsidy + solar incentives,Large onion & cotton area
Andhra Pradesh,Nandyal,Red & Black mixed,6.5-8.0,700,26-30,Medium-High,Krishnapatnam – (~280 km),Tirupati ICD – (~200 km),Bengaluru – (~340 km),98000,"Bengal gram, Groundnut, Citrus","HS07, HS12, HS08",Bengal gram,145000,Bangladesh,185,,,–,"New district, strong pulses"
Andhra Pradesh,NTR (Vijayawada),"Alluvial, Black cotton",6.5-8.0,1000,26-29,Very High,Krishnapatnam – (~200 km),Vijayawada ICD – (~15 km),Vijayawada – (~20 km),195000,"Rice, Mango, Vegetables","HS10, HS08, HS07","Rice, Mango pulp",485000,"Vietnam, UAE",582,Krishna Delta Rice Zone,,Capital region incentives,Urban agri hub
Andhra Pradesh,Palnadu,"Red loamy, Black patches",6.5-8.0,800,26-29,High,Krishnapatnam – (~160 km),Guntur CFS – (~50 km),Vijayawada – (~90 km),145000,"Cotton, Chillies, Rice","HS52, HS09, HS10","Cotton, Chillies",285000,"China, Bangladesh",312,Guntur Chillies Cluster,,–,Cotton revival area
Andhra Pradesh,Parvathipuram Manyam,"Red sandy, Lateritic",5.5-6.5,1100,24-27,Medium,Visakhapatnam – (~220 km),,Visakhapatnam – (~240 km),18000,"Cashew, Turmeric, Coffee","HS08, HS09",Cashew,22000,Vietnam,78,Tribal Cashew Cluster,Araku Coffee,50% tribal subsidy,Coffee & cashew tribal zone
Andhra Pradesh,Prakasam,"Red sandy, Black cotton coastal",6.5-8.0,900,25-29,High,Krishnapatnam – (~80 km),Ongole CFS – (~40 km),Vijayawada – (~200 km),185000,"Tobacco, Bengal gram, Rice","HS24, HS07, HS10",Virginia Tobacco,165000,"China, EU",248,,,–,Tobacco belt
Andhra Pradesh,Sri Sathya Sai,"Red sandy, Black patches",6.5-8.5,600,26-30,Medium,Krishnapatnam – (~340 km),Tirupati ICD – (~160 km),Bengaluru – (~200 km),125000,"Groundnut, Pomegranate, Papaya","HS12, HS08","Groundnut, Pomegranate",245000,"Netherlands, Malaysia",285,Rayalaseema Horti Cluster,,Solar + drought package,Pomegranate hub
Andhra Pradesh,Sri Balaji (Tirupati),"Red loamy, Granite-derived",6.0-7.5,900,25-30,High,Chennai – (~130 km),Tirupati ICD – (~20 km),Tirupati – (~25 km),165000,"Mango, Groundnut, Flowers","HS08, HS12, HS06",Mango pulp,185000,"Russia, UAE",368,Tirupati Temple Horti Cluster,,40% for food parks,Temple-driven agro economy
Andhra Pradesh,Srikakulam,"Coastal alluvial, Red loamy",6.0-7.5,1050,25-28,High,Visakhapatnam – (~110 km),,Visakhapatnam – (~120 km),125000,"Rice, Cashew, Rice, Coconut","HS08, HS10",Cashew,98000,"Vietnam, UAE",215,,,–,Cashew processing cluster
Andhra Pradesh,Tirupati,"Red loamy, Sandy",6.0-7.5,900,25-30,High,Chennai – (~130 km),Tirupati ICD – (~20 km),Tirupati – (~25 km),165000,"Mango, Groundnut, Flowers","HS08, HS12,06",Mango pulp,185000,"Russia, UAE",368,Tirupati Temple Horti Cluster,,40% for food parks,Same as Sri Balaji
Andhra Pradesh,Visakhapatnam,"Red sandy, Lateritic, Coastal alluvial",5.5-7.5,1000,25-29,High,Visakhapatnam Port – (~15 km),Visakhapatnam CFS – (~10 km),Visakhapatnam – (~15 km),285000,"Rice, Shrimp, Rice, Cashew, Flowers","HS03, HS10, HS08, HS06","Shrimp, Rice",720000,"USA, EU, Japan",825,Visakhapatnam Seafood Cluster,,Port-based 100% SGST waiver,India’s largest seafood export hub
Andhra Pradesh,Vizianagaram,"Red loamy, Alluvial patches",6.0-7.5,1050,25-28,High,Visakhapatnam – (~80 km),,Visakhapatnam – (~90 km),115000,"Rice, Sugarcane, Mango","HS10, HS17, HS08","Sugar, Mango",185000,"Iran, Bangladesh",248,,,–,Sugar & mango belt
Andhra Pradesh,West Godavari,"Deltaic alluvial, Clayey, Saline",6.5-8.2,1150,25-28,Very High,Kakinada – (~90 km),,Vijayawada – (~140 km),325000,"Rice, Aquaculture, Coconut, Banana","HS10, HS03, HS08","Shrimp, Rice, Coconut oil",820000,"USA, China, EU",925,Godavari Delta Aqua Zone,,Highest incentives for aqua processing,India’s aquaculture capital
Andhra Pradesh,YSR Kadapa,"Red sandy, Black cotton",6.5-8.0,750,26-30,Medium-High,Krishnapatnam – (~200 km),Tirupati ICD – (~140 km),Bengaluru – (~280 km),145000,"Groundnut, Citrus, Papaya, Banana","HS12, HS08","Groundnut, Citrus",265000,"Malaysia, Vietnam",325,Rayalaseema Horti Cluster,,Solar + horti package,Sweet orange & papaya hub
State,District,Predominant Soil Types (in order of dominance),Soil pH (typical range),"Annual Rainfall (avg, mm)",Annual Average Temperature (°C),Fertility Status,Nearest Seaport + Distance (km),Nearest ICD/CFS + Distance (km),Nearest Cargo Airport + Distance (km),Cold Storage Capacity (MT),Key Suitable Crops / Products,HS Chapters (Top 5–6 relevant),Major Export Products (last 3 years),Export Volume 2024-25 (MT),Top 3 Buyer Countries (2024),No. of Registered Exporters / Processors,Agri Export Zone (AEZ) or Cluster,GI Tags Present in District,State Incentive Highlights (2024-29 policy),Remarks / Special Notes
Arunachal Pradesh,Anjaw,"Mountain, Forest loam, Skeletal",4.8-6.0,3000+,2024-10-01 00:00:00,Low-Medium,Kolkata – (~1650 km),Guwahati ICD – (~850 km),Dibrugarh – (~380 km),800,"Kiwi, Large cardamom, Medicinal herbs","HS08, HS09","Kiwi, Cardamom",1200,"Bhutan, Nepal",12,,Arunachal Orange (shared),90% transport subsidy + 50% capital subsidy,Remote high-altitude kiwi zone
Arunachal Pradesh,Changlang,"Red loamy, Lateritic",5.0-6.2,2800,15-26,Medium,Dibrugarh Port – (~320 km),,Dibrugarh – (~180 km),3500,"Tea, Orange, Ginger, Large cardamom",HS09,"Tea, Ginger",4800,"Bhutan, Bangladesh",38,,,100% income-tax holiday for 10 yrs,Tea & ginger emerging
Arunachal Pradesh,Dibang Valley,"Skeletal, Forest loam",4.5-5.8,3500+,2022-08-01 00:00:00,Low,Kolkata – (~1800 km),Guwahati ICD – (~950 km),Dibrugarh – (~420 km),500,"Kiwi, Apple, Medicinal plants",HS08,Kiwi,850,Nepal,8,,,Special hill package,Extremely remote
Arunachal Pradesh,East Kameng,"Red & Yellow, Loamy",5.0-6.5,2500,2025-12-01 00:00:00,Medium,Kolkata – (~1400 km),Guwahati ICD – (~650 km),Tezpur – (~180 km),2200,"Kiwi, Large cardamom, Orange","HS08, HS09","Kiwi, Cardamom",3200,Bhutan,28,,Arunachal Orange,90% freight subsidy,High kiwi potential
Arunachal Pradesh,East Siang,"Alluvial, Loamy",5.5-7.0,3000,16-27,High,Dibrugarh – (~220 km),,Dibrugarh – (~150 km),12000,"Rice, Orange, Kiwi, Ginger","HS10, HS08, HS09","Orange, Ginger",18000,"Bhutan, Bangladesh",92,,Arunachal Orange,–,Orange bowl of Arunachal
Arunachal Pradesh,Itanagar Capital Complex,"Red loamy, Alluvial",5.5-6.8,2200,16-26,High,Kolkata – (~1350 km),Guwahati ICD – (~420 km),Guwahati – (~420 km),18000,"Vegetables, Flowers, Strawberry","HS07, HS06, HS08","Strawberry, Cut flowers",4500,"Nepal, Bhutan",68,,,Capital incentives + 100% SGST,Emerging strawberry & floriculture hub
Arunachal Pradesh,Kamle,Red & Yellow,5.0-6.2,2600,14-26,Medium,Kolkata – (~1450 km),Guwahati ICD – (~700 km),Dibrugarh – (~300 km),1800,"Kiwi, Orange, Large cardamom","HS08, HS09",Kiwi,2800,Nepal,22,,,–,New district
Arunachal Pradesh,Kra Daadi,"Red loamy, Lateritic",5.2-6.5,2700,14-25,Medium,Kolkata – (~1500 km),Guwahati ICD – (~750 km),Lilabari – (~220 km),1500,"Kiwi, Ginger, Large cardamom","HS09, HS09",Ginger,3500,Bangladesh,25,,,–,Ginger belt
Arunachal Pradesh,Kurung Kumey,"Mountain skeletal, Forest loam",4.8-6.0,3000,2024-10-01 00:00:00,Low,Kolkata – (~1550 km),Guwahati ICD – (~800 km),Dibrugarh – (~350 km),1200,"Kiwi, Apple, Medicinal herbs",HS08,Kiwi,1800,Nepal,15,,,Special hill package,High-altitude fruits
Arunachal Pradesh,Lepa Rada,"Alluvial, Red loamy",5.5-7.0,2800,16-27,High,Dibrugarh – (~250 km),,Dibrugarh – (~180 km),8500,"Rice, Orange, Ginger","HS10, HS08",Orange,12000,Bhutan,65,,Arunachal Orange,–,Part of orange cluster
Arunachal Pradesh,Lohit,"Alluvial, Red loamy",5.5-7.0,2500,15-27,High,Dibrugarh – (~180 km),,Dibrugarh – (~120 km),15000,"Rice, Orange, Mustard, Kiwi","HS10, HS08","Orange, Mustard oil",22000,"Bhutan, Bangladesh",112,,Arunachal Orange,–,Mustard & orange hub
Arunachal Pradesh,Longding,"Red loamy, Lateritic",5.0-6.2,2800,15-26,Medium,Dibrugarh – (~300 km),,Dibrugarh – (~220 km),2800,"Large cardamom, Ginger, Tea",HS09,Large cardamom,4200,Bhutan,32,,,90% transport subsidy,Cardamom pocket
Arunachal Pradesh,Lower Dibang Valley,"Alluvial, Loamy",5.5-6.8,3200,14-26,High,Dibrugarh – (~200 km),,Dibrugarh – (~140 km),10500,"Rice, Orange, Kiwi","HS10, HS08",Orange,15000,Bhutan,78,,Arunachal Orange,–,Orange & rice valley
Arunachal Pradesh,Lower Siang,"Alluvial, Red loamy",5.5-7.0,3000,16-27,High,Dibrugarh – (~280 km),,Dibrugarh – (~200 km),9800,"Rice, Orange, Ginger","HS10, HS09",Ginger,11000,Bangladesh,72,,,–,Ginger & rice
Arunachal Pradesh,Lower Subansiri,"Red & Yellow, Loamy",5.2-6.5,2400,14-26,Medium-High,Kolkata – (~1300 km),Guwahati ICD – (~550 km),Lilabari – (~100 km),14000,"Kiwi, Apple, Large cardamom, Rice","HS08, HS09","Kiwi, Cardamom",16000,"Nepal, Bhutan",98,Ziro Valley Rice Cluster,Apatani Wet Rice Cultivation (GI applied),100% SGST + freight subsidy,Famous Ziro valley (UNESCO tentative)
Arunachal Pradesh,Namsai,Alluvial (Brahmaputra valley),5.8-7.2,2800,16-28,Very High,Dibrugarh – (~100 km),,Dibrugarh – (~80 km),22000,"Rice, Mustard, Tea, Vegetables","HS10, HS09","Tea, Mustard oil",32000,"Bangladesh, Bhutan",145,,,–,Tea & rice hub
Arunachal Pradesh,Pakke Kessang,Red & Yellow,5.0-6.2,2600,14-25,Medium,Kolkata – (~1400 km),Guwahati ICD – (~650 km),Tezpur – (~160 km),2000,"Kiwi, Large cardamom","HS08, HS09",Kiwi,2500,Nepal,20,,,–,New district
Arunachal Pradesh,Papum Pare,"Alluvial, Red loamy",5.5-7.0,2200,16-27,High,Kolkata – (~1350 km),Guwahati ICD – (~420 km),Guwahati – (~420 km),25000,"Rice, Kiwi, Strawberry, Floriculture","HS10, HS08, HS06","Strawberry, Cut flowers",8500,"Nepal, Bhutan",125,,,Capital incentives,Strawberry & floriculture
