HS_Code,Chapter,Product_Description,FTA_Agreement,Duty_Reduction_Staging,Effective_Date,ROO_Rule,Benefit_Notes,Expected_Export_Boost_2025
030695,03,Other Frozen Aquatic Invertebrates,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Shellfish varieties; UAE re-export hub,10.0
160521,16,"Prepared / Preserved Shrimp (breaded, marinated, retail)",India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO or CTSH,Breaded/marinated qualifies with Indian processing,100.0
160529,16,"Other Prepared / Preserved Fish (e.g., Surimi, Fish balls)",India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO or CTSH,Indian tuna/surimi; HACCP for shelf-life,50.0
030487,03,Frozen Pomfret / Other Premium Fillets,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,West Coast catch; premium fillets,15.0
030499,03,Other Frozen Fish Meat (minced / offcuts),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,By-product value addition,10.0
030711,03,Live / Fresh / Chilled Shrimps & Prawns,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Air-shipped live from AP; highest $/kg,30.0
030617,03,Frozen Headless Shell-On (HLSO) Vannamei Shrimp,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Standard export pack; highest volume,120.0
000000,00,Product_Description,FTA_Agreement,Duty_Reduction_Staging,Effective_Date,ROO_Rule,Benefit_Notes,2025.0
030617,03,"Frozen Vannamei / Black Tiger Shrimp (Raw, block or IQF)",India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,Full duty elimination from Day-1 – Australia’s 5% duty gone forever,160.0
030617,03,Frozen Shrimp (Cooked / Peeled / PDTO / Value-Added),India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,Value-added also 0% instantly – Coles/Woolworths love it,110.0
030289,03,Frozen Seabass Fillets (skinless or skin-on),India-Australia ECTA,Phased to 0% over 6 years (B6),2022-12-29 00:00:00,CTSH + 35% RVC,Already ~50% cut in 2025; full 0% by 2028,65.0
030462,03,Frozen Tilapia Fillets,India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,Safest product – zero duty from Day-1,45.0
030461,03,Frozen Pangasius Fillets,India-Australia ECTA,Phased to 0% over 3 years (B3),2022-12-29 00:00:00,CTSH + 35% RVC,Full 0% from Jan 2026 – volume exploding,40.0
030614,03,Frozen / Live Mud Crabs,India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,Live crab prices in Sydney/Melbourne soaring,35.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-Australia ECTA,Phased to 0% over 6 years (B6),2022-12-29 00:00:00,WO,Premium restaurant segment,28.0
030743,03,Frozen Squid (whole / tubes / rings / tentacles),India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,Ethnic & restaurant demand massive,22.0
030749,03,Frozen Cuttlefish (whole / cleaned),India-Australia ECTA,Phased to 0% over 4 years (B4),2022-12-29 00:00:00,CTSH,Gutted varieties qualify,16.0
030539,03,Dried Shrimp / Dried Fish,India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,South-Asian diaspora favourite,14.0
030616,03,Frozen Rohu / Catla / Mrigal (Indian Major Carp),India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,Ethnic stores love it,18.0
030711,03,Live / Chilled Shrimps & Prawns,India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,48-hour biosecurity clearance – huge margin,25.0
030636,03,"Other Frozen Fish (Ribbonfish, Croaker, etc.)",India-Australia ECTA,Phased to 0% over 6 years (B6),2022-12-29 00:00:00,WO,"High volume, low value – still profitable",12.0
160521,16,Prepared Shrimp (breaded / marinated / retail packs),India-Australia ECTA,Phased to 0% over 3 years (B3),2022-12-29 00:00:00,CTSH + 35% RVC,Full 0% from Dec 2025 – ready-to-cook boom,55.0
160529,16,"Other Prepared Fish (surimi, fish balls, etc.)",India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO or CTSH,Instant 0% – growing fast,20.0
000000,00,Product_Description,FTA_Agreement,Duty_Reduction_Staging,Effective_Date,ROO_Rule,Benefit_Notes,2025.0
030617,03,"Frozen Vannamei / Black Tiger Shrimp (Raw, block or IQF)",India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,UK 8–10% duty eliminated Day-1 – biggest single gain,220.0
030617,03,Frozen Shrimp (Cooked / Peeled / PDTO / Value-Added),India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Cooked & peeled also 0% instantly – Tesco/Sainsbury’s ready,180.0
030289,03,Frozen Seabass Fillets (skinless or skin-on),India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Premium UK restaurant & retail demand exploding,110.0
030462,03,Frozen Tilapia Fillets,India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Safest product – zero duty from Day-1,55.0
030461,03,Frozen Pangasius Fillets,India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Volume leader – full elimination,50.0
030614,03,Frozen / Live Mud Crabs,India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,London restaurants paying premium for live Indian crab,70.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,UK hotels & fine-dining love scampi,65.0
030743,03,Frozen Squid (whole / tubes / rings / tentacles),India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Massive ethnic & pub demand,40.0
030749,03,Frozen Cuttlefish (whole / cleaned),India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Gutted varieties qualify instantly,25.0
030539,03,Dried Shrimp / Dried Fish,India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,South-Asian & African diaspora stores,20.0
030616,03,Frozen Rohu / Catla / Mrigal (Indian Major Carp),India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Bangladeshi & Pakistani communities huge buyers,30.0
030711,03,Live / Chilled Shrimps & Prawns,India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Air-freighted live – highest £/kg,45.0
160521,16,Prepared Shrimp (breaded / marinated / retail packs),India-UK CETA,0% immediate,2025-07-24 00:00:00,WO or CTSH,"Tesco, Sainsbury’s, M&S own-label boom",130.0
160529,16,"Other Prepared Fish (surimi, fish cakes, etc.)",India-UK CETA,0% immediate,2025-07-24 00:00:00,WO or CTSH,Ready meals & sandwich fillings,60.0
030487,03,Frozen Pomfret / Kingfish Fillets,India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,UK Indian restaurants staple,35.0
000000,00,Product_Description,FTA_Agreement,Duty_Reduction_Staging,Effective_Date,ROO_Rule,Benefit_Notes,2025.0
030617,03,"Frozen Vannamei / Black Tiger Shrimp (Raw, block or IQF)",India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,"Norway & Iceland were already low-duty, but Switzerland & Liechtenstein now 0% – huge win",180.0
030617,03,Frozen Shrimp (Cooked / Peeled / PDTO / Value-Added),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Swiss & Norwegian hotels love cooked shrimp,140.0
030289,03,Frozen Seabass Fillets (skinless or skin-on),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Norway is the #1 destination in Europe for Indian seabass – now zero duty,150.0
030462,03,Frozen Tilapia Fillets,India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Switzerland retail chains expanding Indian tilapia,50.0
030461,03,Frozen Pangasius Fillets,India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Volume product – full elimination,45.0
030614,03,Frozen / Live Mud Crabs,India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Live mud crab to Zurich & Oslo restaurants – premium pricing,80.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Swiss fine-dining gold,90.0
030743,03,Frozen Squid (whole / tubes / rings / tentacles),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Norway & Iceland love squid – massive new market,70.0
030749,03,Frozen Cuttlefish (whole / cleaned),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Gutted cuttlefish gaining traction,35.0
030539,03,Dried Shrimp / Dried Fish,India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Asian diaspora in Switzerland,20.0
030616,03,Frozen Rohu / Catla / Mrigal (Indian Major Carp),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,South-Asian communities in Switzerland & Norway,25.0
030711,03,Live / Chilled Shrimps & Prawns,India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Air-freighted live – highest margin,55.0
160521,16,Prepared Shrimp (breaded / marinated / retail packs),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO or CTSH,Migros & Coop (Swiss retailers) own-label boom,100.0
160529,16,"Other Prepared Fish (surimi, fish cakes, etc.)",India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO or CTSH,Ready meals for Nordic & Swiss markets,60.0
030487,03,Frozen Pomfret / Kingfish Fillets,India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Swiss Indian restaurants staple,40.0
000000,00,Product_Description,FTA_Agreement,Duty_Reduction_Staging,Effective_Date,ROO_Rule,Benefit_Notes,2025.0
030617,03,"Frozen Vannamei / Black Tiger Shrimp (Raw, block or IQF)",India-EU FTA (Projected),Phased to 0% over 7 years (B7),2026-01-01 00:00:00,WO or CTSH + 40% RVC,12% duty phased out; EU strict on antibiotics (zero tolerance),40055.0
030617,03,Frozen Shrimp (Cooked / Peeled / Value-Added),India-EU FTA (Projected),Phased to 0% over 5 years (B5),2026-01-01 00:00:00,WO,Value-added gets faster phase; ASC cert key for EU supermarkets,25015.0
030289,03,Frozen Seabass Fillets (skinless or skin-on),India-EU FTA (Projected),0% immediate (Category A),2026-01-01 00:00:00,WO,Already low duty; EU loves Indian seabass – no phase needed,120.0
030462,03,Frozen Tilapia Fillets,India-EU FTA (Projected),Phased to 0% over 5 years (B5),2026-01-01 00:00:00,WO,7% duty eliminated; low-risk polyculture from AP,60.0
030461,03,Frozen Pangasius Fillets,India-EU FTA (Projected),Phased to 0% over 7 years (B7),2026-01-01 00:00:00,CTSH + 40% RVC,EU hesitations on antibiotics; MPEDA Shaphari farms qualify,70.0
030614,03,Frozen / Live Mud Crabs,India-EU FTA (Projected),Phased to 0% over 5 years (B5),2026-01-01 00:00:00,WO,"8% duty phased; sustainability certs (e.g., MSC) boost",80.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-EU FTA (Projected),Phased to 0% over 7 years (B7),2026-01-01 00:00:00,WO,Japan-parallel; EU premium for antibiotic-free,
030743,03,Frozen Squid (whole / tubes / rings),India-EU FTA (Projected),0% immediate (Category A),2026-01-01 00:00:00,WO,Cadmium limits strict; immediate gain on low-duty lines,50.0
030749,03,Frozen Cuttlefish (whole / cleaned),India-EU FTA (Projected),Phased to 0% over 5 years (B5),2026-01-01 00:00:00,WO,Gutted varieties; EU heavy metals focus,
030539,03,Dried Shrimp / Dried Fish,India-EU FTA (Projected),0% immediate (Category A),2026-01-01 00:00:00,WO,Moisture/safety compliance easy; ethnic markets,25.0
030616,03,Frozen Rohu / Catla (Indian Carp),India-EU FTA (Projected),Phased to 0% over 5 years (B5),2026-01-01 00:00:00,WO,Polyculture qualifies; Halal-optional for EU,35.0
030711,03,Live / Chilled Shrimps & Prawns,India-EU FTA (Projected),Phased to 0% over 7 years (B7),2026-01-01 00:00:00,WO,Air-freight viable; EU traceability mandatory,50.0
160521,16,Prepared Shrimp (breaded / marinated),India-EU FTA (Projected),Phased to 0% over 5 years (B5),2026-01-01 00:00:00,CTSH + 40% RVC,Ingredients labeling strict; retail packs boom,
160529,16,Other Prepared Fish (surimi / fish cakes),India-EU FTA (Projected),0% immediate (Category A),2026-01-01 00:00:00,WO or CTSH,HACCP essential; EU ready-meals market,70.0
030487,03,Frozen Pomfret / Other Fillets,India-EU FTA (Projected),Phased to 0% over 5 years (B5),2026-01-01 00:00:00,WO,Regional favorites; sustainability edge,45.0
000000,00,Product_Description,FTA_Agreement,Duty_Reduction_Staging,Effective_Date,ROO_Rule,Benefit_Notes,2025.0
030617,03,"Frozen Vannamei / Black Tiger Shrimp (Raw, block or IQF)",India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Full elimination on all HS-03; easiest market entry,8070.0
030617,03,Frozen Shrimp (Cooked / Peeled / Value-Added),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Value-added qualifies instantly; Halal boosts,60.0
030289,03,Frozen Seabass Fillets (skinless or skin-on),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Re-export hub to EU/Africa; premium demand,4025.0
030462,03,Frozen Tilapia Fillets,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Low-cost polyculture from AP; zero rejection,30.0
030461,03,Frozen Pangasius Fillets,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Fast-growth farms qualify; easy compliance,25.0
030614,03,Frozen / Live Mud Crabs,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Live from Sundarbans; Halal essential,35.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Freshwater scampi; re-export potential,
030743,03,Frozen Squid (whole / tubes / rings),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Marine from Kerala; cadmium testing simple,15.0
030749,03,Frozen Cuttlefish (whole / cleaned),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Gutted varieties; low heavy metals,12.0
030539,03,Dried Shrimp / Dried Fish,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Sun-dried from TN; moisture <12%,10.0
030616,03,Frozen Rohu / Catla (Indian Carp),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Polyculture from WB; Halal for locals,18.0
030711,03,Live / Chilled Shrimps & Prawns,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Air-shipped live; high $/kg,20.0
030636,03,"Other Frozen Fish (Ribbonfish, etc.)",India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Wild catch from Gujarat; easy WO,
160521,16,Prepared Shrimp (breaded / marinated),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO or CTSH,Retail packs; HACCP for shelf-life,
160529,16,Other Prepared Fish (surimi / fish cakes),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO or CTSH,Processed tuna; re-export hub,
030487,03,Frozen Pomfret / Other Fillets,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,West Coast premium; sustainability edge,15.0
030499,03,Other Frozen Fish Meat (minced),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,By-product value; low-cost,10.0
030695,03,Other Frozen Aquatic Invertebrates,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Shellfish; Africa gateway,5.0
000000,00,Product_Description,FTA_Agreement,Duty_Reduction_Staging,Effective_Date,ROO_Rule,Benefit_Notes,2025.0
030617,03,Frozen Vannamei / Black Tiger Shrimp (Raw),India-EU FTA (Projected),Phased to 0% over 7 years,2026-01-01 00:00:00,WO,12% duty phased; strict on nitrofurans/chloramphenicol,400.0
030617,03,Frozen Shrimp (Cooked / Peeled),India-EU FTA (Projected),Phased to 0% over 5 years,2026-01-01 00:00:00,WO,Value-added faster phase; ASC/BRC certs essential,250.0
030289,03,Frozen Seabass Fillets,India-EU FTA (Projected),0% immediate,2026-01-01 00:00:00,WO,Low-duty already; EU restaurants premium,120.0
030462,03,Frozen Tilapia Fillets,India-EU FTA (Projected),Phased to 0% over 5 years,2026-01-01 00:00:00,WO,7% duty gone; AP polyculture fits,60.0
030461,03,Frozen Pangasius Fillets,India-EU FTA (Projected),Phased to 0% over 7 years,2026-01-01 00:00:00,CTSH + 40% RVC,Antibiotic scrutiny; Shaphari farms qualify,70.0
030614,03,Frozen Mud Crabs,India-EU FTA (Projected),Phased to 0% over 5 years,2026-01-01 00:00:00,WO,8% duty phased; MSC for sustainability,80.0
030624,03,Frozen Scampi (Giant Prawn),India-EU FTA (Projected),Phased to 0% over 7 years,2026-01-01 00:00:00,WO,Premium antibiotic-free,90.0
030743,03,Frozen Squid,India-EU FTA (Projected),0% immediate,2026-01-01 00:00:00,WO,Cadmium limits; immediate volume gain,50.0
030749,03,Frozen Cuttlefish,India-EU FTA (Projected),Phased to 0% over 5 years,2026-01-01 00:00:00,WO,Heavy metals focus,40.0
030539,03,Dried Shrimp,India-EU FTA (Projected),0% immediate,2026-01-01 00:00:00,WO,Moisture compliance easy,25.0
030616,03,Frozen Rohu / Catla,India-EU FTA (Projected),Phased to 0% over 5 years,2026-01-01 00:00:00,WO,Ethnic markets; Halal optional,35.0
030711,03,Live / Chilled Shrimp,India-EU FTA (Projected),Phased to 0% over 7 years,2026-01-01 00:00:00,WO,Traceability mandatory,50.0
160521,16,Prepared Shrimp (Breaded),India-EU FTA (Projected),Phased to 0% over 5 years,2026-01-01 00:00:00,CTSH + 40% RVC,Ingredients labeling strict,150.0
160529,16,Prepared Fish (Surimi),India-EU FTA (Projected),0% immediate,2026-01-01 00:00:00,WO or CTSH,HACCP for ready-meals,70.0
030487,03,Frozen Pomfret Fillets,India-EU FTA (Projected),Phased to 0% over 5 years,2026-01-01 00:00:00,WO,Sustainability edge,45.0
000000,00,Product_Description,FTA_Agreement,Duty_Reduction_Staging,Effective_Date,ROO_Rule,Benefit_Notes,2025.0
030289,03,Frozen Seabass Fillets (skinless or skin-on),India-Australia ECTA,Phased to 0% over 6 years (B6),2022-12-29 00:00:00,CTSH + 35% RVC,Already ~50% cut in 2025; full 0% by 2028,65.0
030289,03,Frozen Seabass Fillets (skinless or skin-on),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Norway is the #1 destination in Europe for Indian seabass – now zero duty,150.0
030289,03,Frozen Seabass Fillets (skinless or skin-on),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Re-export hub to EU/Africa; premium demand,40.0
030289,03,Frozen Seabass Fillets (skinless or skin-on),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,No value-added threshold; Indian farmed seabass ideal,80.0
030289,03,Frozen Seabass Fillets (skinless or skin-on),India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Premium UK restaurant & retail demand exploding,110.0
030461,03,Frozen Pangasius Fillets,India-Australia ECTA,Phased to 0% over 3 years (B3),2022-12-29 00:00:00,CTSH + 35% RVC,Full 0% from Jan 2026 – volume exploding,40.0
030461,03,Frozen Pangasius Fillets,India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Volume product – full elimination,45.0
030461,03,Frozen Pangasius Fillets,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Fast-growth farms qualify; easy compliance,25.0
030461,03,Frozen Pangasius Fillets,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Fast-growth Indian farms; EU/USA parallel benefits,35.0
030461,03,Frozen Pangasius Fillets,India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Volume leader – full elimination,50.0
030462,03,Frozen Tilapia Fillets,India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,Safest product – zero duty from Day-1,45.0
030462,03,Frozen Tilapia Fillets,India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Switzerland retail chains expanding Indian tilapia,50.0
030462,03,Frozen Tilapia Fillets,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Low-cost polyculture from AP; zero rejection,30.0
030462,03,Frozen Tilapia Fillets,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Low-cost polyculture from AP/Karnataka; zero rejection risk,40.0
030462,03,Frozen Tilapia Fillets,India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Safest product – zero duty from Day-1,55.0
030499,03,Other Frozen Fish Meat,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,By-product value; low-cost,10.0
030499,03,Other Frozen Fish Meat,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Minced/offcuts; low-cost export,10.0
030539,03,Dried Shrimp / Dried Fish,India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,South-Asian diaspora favourite,14.0
030539,03,Dried Shrimp / Dried Fish,India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Asian diaspora in Switzerland,20.0
030539,03,Dried Shrimp / Dried Fish,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Sun-dried from TN; moisture <12%,10.0
030539,03,Dried Shrimp / Dried Fish,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Sun-dried from TN/Odisha; moisture <12%,15.0
030539,03,Dried Shrimp / Dried Fish,India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,South-Asian & African diaspora stores,20.0
030616,03,Frozen Rohu / Catla / Mrigal (Indian Major Carp),India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,Ethnic stores love it,18.0
030616,03,Frozen Rohu / Catla / Mrigal (Indian Major Carp),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,South-Asian communities in Switzerland & Norway,25.0
030616,03,Frozen Rohu / Catla / Mrigal (Indian Major Carp),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Polyculture from WB; Halal for locals,18.0
030616,03,Frozen Rohu / Catla / Mrigal (Indian Major Carp),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Polyculture from WB/Bihar; Halal for Middle East,25.0
030616,03,Frozen Rohu / Catla / Mrigal (Indian Major Carp),India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Bangladeshi & Pakistani communities huge buyers,30.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-Australia ECTA,Phased to 0% over 6 years (B6),2022-12-29 00:00:00,WO,Premium restaurant segment,28.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Swiss fine-dining gold,90.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Freshwater scampi; re-export potential,20.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Japan-parallel premium; Indian freshwater scampi,60.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,UK hotels & fine-dining love scampi,65.0
030636,03,"Other Frozen Fish (e.g., Ribbonfish, Croaker)",India-Australia ECTA,Phased to 0% over 6 years (B6),2022-12-29 00:00:00,WO,"High volume, low value – still profitable",12.0
030636,03,"Other Frozen Fish (Ribbonfish, etc.)",India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Wild catch from Gujarat; easy WO,8.0
030636,03,"Other Frozen Fish (e.g., Ribbonfish, Croaker)",India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Marine from Gujarat; easy WO,10.0
030695,03,Other Frozen Aquatic Invertebrates,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Shellfish; Africa gateway,5.0
030695,03,Other Frozen Aquatic Invertebrates,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Shellfish varieties; UAE re-export hub,10.0
030711,03,Live / Fresh / Chilled Shrimps & Prawns,India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,48-hour biosecurity clearance – huge margin,25.0
030711,03,Live / Chilled Shrimps & Prawns,India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Air-freighted live – highest margin,55.0
030711,03,Live / Chilled Shrimps & Prawns,India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Air-shipped live; high $/kg,20.0
030711,03,Live / Fresh / Chilled Shrimps & Prawns,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Air-shipped live from AP; high $/kg,30.0
030711,03,Live / Chilled Shrimps & Prawns,India-UK CETA,0% immediate,2025-07-24 00:00:00,WO,Air-freighted live – highest £/kg,45.0
030743,03,Frozen Squid (whole / tubes / rings / tentacles),India-Australia ECTA,0% immediate (Category A),2022-12-29 00:00:00,WO,Ethnic & restaurant demand massive,22.0
030743,03,Frozen Squid (whole / tubes / rings / tentacles),India-EFTA TEPA,0% immediate,2025-10-01 00:00:00,WO,Norway & Iceland love squid – massive new market,70.0
030743,03,Frozen Squid (whole / tubes / rings),India-Mauritius CECPA,0% immediate (Category A),2021-04-01 00:00:00,WO,Marine from Kerala; cadmium testing simple,15.0
030743,03,Frozen Squid (whole / tubes / rings / tentacles),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Immediate freezing qualifies; huge volume,25.0
